parameter_name,Periphery resting time
pvalue,0.6696622
analysis_id,8r1wiy59y933hh6
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
parameter_id,ESLIM_007_001_007
gene_symbol,Lurap1
