parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.301891
mouse_strain,C57BL
analysis_id,6spz148ce3jr6uc
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
gene_symbol,Etfdh
