analysis_id,f475692iy7x717q
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.3965413
mouse_life_stage,Early adult
mouse_strain,C57BL
