parameter_name,Midbrain
gene_symbol,Zyg11b
analysis_id,10j2h8q11jts2gk
mouse_life_stage,E18.5
pvalue,0.842124
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,IMPC_GEL_029_001
