parameter_name,18kHz-evoked ABR Threshold
gene_accession_id,MGI:894679
analysis_id,42xngw43q7we355
pvalue,0.4653491
gene_symbol,Bach2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_008_001
