gene_symbol,Usp37
pvalue,0.8028966
analysis_id,u9q9g1ji3y9o985
parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
gene_accession_id,MGI:2442483
mouse_strain,C57BL
mouse_life_stage,Early adult
