gene_symbol,Atf3
mouse_life_stage,Early adult
pvalue,0.8404173
analysis_id,rgkcc189gm333rq
gene_accession_id,MGI:109384
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
