gene_symbol,Dmap1
parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
pvalue,0.9554055
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,548ot4yr14y7j3o
