parameter_name,Limb grasp
analysis_id,lz22vz1imkm3429
pvalue,0.3634678
mouse_life_stage,Early adult
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
parameter_id,JAXLA_CSD_039_001
mouse_strain,C57BL
