analysis_id,r4r612m743nbew9
gene_accession_id,MGI:1915087
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.08562839
mouse_strain,C57BL
gene_symbol,Tiprl
mouse_life_stage,Early adult
