analysis_id,zl7738xa1r2g1ta
gene_accession_id,MGI:105073
gene_symbol,Tnni1
parameter_name,Hindlimb nail - number
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2223253
parameter_id,IMPC_CSD_051_002
