parameter_id,IMPC_EYE_009_001
gene_symbol,Golm2
parameter_name,Corneal vascularization
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7yv646j73y3j8t1
pvalue,0.3892097
