gene_symbol,Zfp683
pvalue,0.4750906
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
analysis_id,k85248shmez7ah9
