analysis_id,f0154j79263hu25
mouse_life_stage,Early adult
pvalue,0.9501678
gene_accession_id,MGI:1916363
parameter_name,Fasted blood glucose concentration
gene_symbol,Alkbh3
parameter_id,IMPC_IPG_010_001
mouse_strain,C54BL
