analysis_id,45h5186my0h9266
parameter_name,Skull shape
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3387419
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
parameter_id,IMPC_XRY_001_001
