analysis_id,t8k7xltb432uan0
mouse_life_stage,Early adult
pvalue,0.1110302
parameter_id,IMPC_ABR_004_001
mouse_strain,C57BL
gene_symbol,Psmd14
gene_accession_id,MGI:1913284
parameter_name,6kHz-evoked ABR Threshold
