gene_symbol,Zyg11b
parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
mouse_life_stage,E18.5
analysis_id,9kn9ki45ilpq6s4
mouse_strain,C57BL
pvalue,0.6693852
gene_accession_id,MGI:2685277
