analysis_id,7kydz8r1866mehd
pvalue,0.6055842
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Traf6
parameter_id,ESLIM_016_001_003
parameter_name,Haemoglobin
gene_accession_id,MGI:108072
