analysis_id,8g15k743293gtkt
gene_accession_id,MGI:99605
gene_symbol,Cntfr
pvalue,0.9295528
parameter_id,MGP_IMM_081_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
