gene_symbol,Tatdn3
pvalue,0.8553797
analysis_id,3175uv3284025t1
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
parameter_name,Latency to center entry
mouse_strain,C57BL
parameter_id,IMPC_OFD_018_001
