gene_symbol,Usp37
analysis_id,dv9ixp94i45v4f7
pvalue,0.8103707
mouse_strain,C57BL
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
