gene_symbol,Kdm4c
analysis_id,6fa4l0e96qba97e
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
parameter_name,NK Subsets (Q2)
pvalue,0.6795924
