analysis_id,7sd4i63v430dz40
parameter_id,IMPC_IPG_011_001
pvalue,0.5254538
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
