analysis_id,282rq0c2n7mt304
pvalue,0.3021241
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_name,Cleft palate
