analysis_id,4ympp64l5y8klgb
gene_symbol,Traf6
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
parameter_name,Chloride
pvalue,0.2531907
gene_accession_id,MGI:108072
mouse_strain,C57BL
