gene_symbol,Clvs1
mouse_strain,C57BL
gene_accession_id,MGI:1921688
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,69ps9i8643115bt
mouse_life_stage,Early adult
pvalue,0.670237
parameter_id,MGP_IMM_022_001
