analysis_id,e6f0n0073w2659j
parameter_id,IMPC_GEP_017_001
parameter_name,Facial Morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1332236
pvalue,0.5792079
gene_symbol,Cds2
