analysis_id,c0995019stc7agc
gene_symbol,Morn5
parameter_name,CD11b-low cDC - % of cDC
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_067_001
pvalue,0.7594513
gene_accession_id,MGI:1922745
