parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,E12.5
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
analysis_id,07l95i3896d5o07
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
pvalue,0.4816753
