parameter_id,JAXLA_CSD_022_001
parameter_name,Hindlimbs - size
mouse_life_stage,E9.5
analysis_id,9w0q3g0pl62q183
gene_symbol,Bcs1l
pvalue,0.9644481
gene_accession_id,MGI:1914071
mouse_strain,C57BL
