analysis_id,vlo8m0i69o76989
gene_symbol,Ntmt2
pvalue,0.9807006
gene_accession_id,MGI:2685053
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
mouse_life_stage,Early adult
mouse_strain,C57BL
