gene_symbol,Rap2b
mouse_life_stage,Early adult
analysis_id,0283o3b810a244v
parameter_id,MGP_MLN_093_001
mouse_strain,C57BL
gene_accession_id,MGI:1921262
pvalue,0.845623
parameter_name,KLRG1+ NK cells - % of CD45+
