analysis_id,50g1958osuroz88
gene_accession_id,MGI:3588214
parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
gene_symbol,Rufy4
pvalue,0.6419789
mouse_life_stage,Early adult
