analysis_id,16t6q6kl5mg93sr
gene_symbol,Atg4c
parameter_id,IMPC_IPG_010_001
pvalue,0.9411623
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
