gene_symbol,Psd4
pvalue,0.7707257
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_id,M-G-P_005_001_001
parameter_name,Weight
mouse_strain,C56BL
analysis_id,g08vly4f2o0wm20
