gene_symbol,Zyg11b
parameter_id,IMPC_IMM_052_001
pvalue,0.8198577
analysis_id,1t59mm70600w8m9
mouse_strain,C57BL
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
parameter_name,Eosinophils
