analysis_id,haw07869e9z70v7
mouse_strain,C57BL
pvalue,0.7377652
parameter_name,Center permanence time
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
parameter_id,IMPC_OFD_016_001
gene_symbol,Frmpd1
