parameter_name,center - resting time
mouse_life_stage,Early adult
pvalue,0.9190603
mouse_strain,C57BL
gene_accession_id,MGI:1914944
parameter_id,M-G-P_007_001_011
gene_symbol,Ift74
analysis_id,42rnpm0b1002551
