parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
pvalue,0.9347176
gene_accession_id,MGI:99501
analysis_id,k78kgw8o0a40zd6
gene_symbol,Fgb
parameter_name,Gait
mouse_life_stage,E15.5
