parameter_name,lens
analysis_id,0534wqt505c4l10
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
mouse_life_stage,Early adult
pvalue,0.7876158
mouse_strain,C57BL
parameter_id,M-G-P_014_001_009
