parameter_name,Pericardium Morphology
analysis_id,7432m8cz0nqn6u3
gene_accession_id,MGI:1920638
mouse_strain,C57BL
gene_symbol,Bpifa3
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
pvalue,0.3985957
