analysis_id,55ork537sys2l7q
parameter_id,M-G-P_007_001_010
pvalue,0.3261459
parameter_name,center - distance
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
gene_symbol,Morn5
mouse_strain,C57BL
