parameter_name,Head coat/hair presence
mouse_strain,C57BL
parameter_id,MGP_CSD_015_001
analysis_id,zuf6qj2u205y0z9
pvalue,0.9705143
gene_accession_id,MGI:96757
gene_symbol,Lcn2
mouse_life_stage,Early adult
