parameter_id,IMPC_LDT_006_001
pvalue,0.1176655
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
analysis_id,090029z4y2fx5l6
mouse_strain,C57BL
