parameter_id,MGP_MLN_021_001
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
analysis_id,0p498l2s337uhns
mouse_life_stage,Early adult
pvalue,0.1424779
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
