analysis_id,059967x8641e542
gene_symbol,Clvs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
pvalue,0.6077637
gene_accession_id,MGI:1921688
