analysis_id,r141nuy3vjx960d
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
parameter_name,Total cholesterol
mouse_strain,C57BL
pvalue,0.8929263
parameter_id,IMPC_CBC_015_001
