analysis_id,1y4dcpwb8x340eb
pvalue,0.1969197
Mouse_strain,C57BL
Parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
parameter_name,Corneal vascularization
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
