parameter_name,Response amplitude - S
pvalue,0.2377595
gene_accession_id,MGI:88174
gene_symbol,Bmi1
analysis_id,341703ih0k4z100
mouse_life_stage,E12.5
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
