analysis_id,h12uqt8s5g1hl48
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
gene_symbol,Bmi1
mouse_strain,C57BL
pvalue,0.9127212
