gene_symbol,Atf3
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:109384
pvalue,0.3988682
mouse_strain,C57BL
analysis_id,75f536x865r11f5
parameter_name,Number of centre entries
mouse_life_stage,Early adult
