parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.7838958
mouse_life_stage,E18.5
analysis_id,cpr3327199e143y
parameter_id,IMPC_ABR_002_001
