analysis_id,ls1g816ey290pec
pvalue,0.4526523
parameter_id,MGP_CSD_025_001
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
mouse_life_stage,Early adult
