parameter_name,Aggression
mouse_strain,C57BL
analysis_id,3i3dkp8ay1j3lwt
parameter_id,IMPC_CSD_079_001
pvalue,0.4137697
gene_symbol,Lurap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
