analysis_id,uf4thy2zv1cu9qv
gene_accession_id,MGI:3046938
mouse_strain,C57BL
gene_symbol,Hrnr
parameter_id,IMPC_IMM_006_001
mouse_life_stage,Early adult
parameter_name,Others
pvalue,0.06215426
