analysis_id,r839gl9np80v7wk
pvalue,0.8289366
parameter_name,Average duration
gene_symbol,Psmd14
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_id,JAX_ROT_002_001
