gene_symbol,Sla2
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
pvalue,0.2119143
gene_accession_id,MGI:1925049
analysis_id,fm7741r82616318
mouse_life_stage,Early adult
