analysis_id,tmv3lk8y72ifo4q
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,AU040320
pvalue,0.8684234
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
