parameter_name,Forebrain
gene_symbol,DNAJC6
mouse_life_stage,Early adult
analysis_id,8666vtol892595r
parameter_id,IMPC_GEL_028_001
pvalue,0.9327244
mouse_strain,C57BL
gene_accession_id,MGI:1919935
