analysis_id,lq69gn56a22ya09
gene_symbol,Kifap3
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
pvalue,0.6421103
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
