analysis_id,vp0z2wia09l4i0n
parameter_id,IMPC_FEA_003_001
pvalue,0.1014386
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
parameter_name,Conditioning Baseline % Freezing Time
mouse_strain,C57BL
