parameter_name,Response amplitude - S
mouse_strain,C57BL
analysis_id,6x4c620etg3k808
mouse_life_stage,E12.5
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:97838
pvalue,0.5708641
gene_symbol,Eprs1
