analysis_id,b7x986mb7a8as67
parameter_name,Right total retinal thickness
pvalue,0.8960794
gene_symbol,Arpc2
parameter_id,IMPC_EYE_062_001
mouse_strain,129SV
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
