analysis_id,wqe7x90w7t4u07a
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
pvalue,0.30407
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
gene_symbol,Hspa5
